instid, name, abbreviation, description, url, country, type
OECD, Organisation for Economic Co-operation and Development, OECD, International organization promoting economic growth and trade, https://www.oecd.org/, INT,
IMF, International Monetary Fund, IMF, The International Monetary Fund (IMF) is a major financial agency of the United Nations and an international financial institution funded by 190 member countries with headquarters in Washington D.C. It is regarded as the global lender of last resort to national governments and a leading supporter of exchange-rate stability. Its stated mission is working to foster global monetary cooperation secure financial stability facilitate international trade promote high employment and sustainable economic growth and reduce poverty around the world., https://www.imf.org/en/Home,INT,
