Country Code,Variable code,Variable description,Units
CHE,PXNW,Price of commodity exports,Index
CHE,RPMGS,Relative price of imported goods and services,Index
CHE,RPXGS,Relative price of exported goods and services,Index
CHE,RSCRP,Productive capital stock scrapping rate,Per Cent
CHE,SAVG,"Government saving (net ), value",National currency
CHE,SAVH,"Net household saving, value",National currency
CHE,SHTGSVD,Share of country's trade expressed in USD volume (2005 prices) in the world trade,Per Cent
CHE,SRATIO,Household and non-profit institutions serving households net saving ratio,Per cent
CHE,SSPG,"Social security benefits paid by general government, value",National currency
CHE,SSRG,"Social security contribution received by general government, value",National currency
CHE,TAXQ,"Taxes and social security contributions, as a percentage of GDP",Per cent
CHE,TDDV,"Total domestic expenditure, volume",National currency
CHE,TEV,"Total expenditure, volume",National currency
CHE,TGSVD,"Goods and services trade volume, USD, 2005 prices",USD
CHE,TIND,"Taxes on production and imports, value",National currency
CHE,TKPG,"Capital Transfers paid and other capital payments, value",National currency
CHE,TKTRG,"Capital tax and transfers receipts, value",National currency
CHE,TOCR,"Other current receipts, general government, value",National currency
CHE,TRPESH,Employees and self-employed contribution to social security,National currency
CHE,TRPTSH,Total employers social contributions,National currency
CHE,TY,"Total direct taxes, value",National currency
CHE,TYB,"Direct taxes on business, value",National currency
CHE,TYH,"Direct taxes on households, value",National currency
CHE,ULC,Unit labour cost in total economy,Index
CHE,ULCDR,"Competitiveness indicator, relative unit labour costs, overall economy",Index
CHE,UN,"Unemployment, level",Persons
CHE,UNR,Unemployment rate,Per cent
CHE,WAGE,"Wages, value",National currency
CHE,WRT,"Wage rate, total economy",National currency
CHE,WSSH,Compensation of employees received by households,National currency
CHE,WSSS,"Compensation of employees, value",National currency
CHE,WSST,"Compensation rate, total economy",National currency
CHE,XGS,"Exports of goods and services, value, National Accounts basis",National currency
CHE,XGSD,"Exports of goods and services, value, National Accounts basis, USD",USD
CHE,XGSV,"Exports of goods and services, volume, National Accounts basis",National currency
CHE,XGSVD,"Exports of goods and services, volume, USD, 2005 prices",USD
CHE,XMKT,"Export market for goods and services, volume, USD, 2005 prices",USD
CHE,XPERF,"Export performance for goods and services, volume",ratio
CHE,XSHA,Share of value exports of good and services in world exports expressed in USD,ratio
CHE,YDH,"Net household disposable income, value",National currency
CHE,YDRH,"Net household disposable income, real",National currency
CHE,YPEPG,"Property income paid by government, value",National currency
CHE,YPERG,"Property income received by government, value",National currency
CHE,YPERGX,"Property income received by government, excluding interest receipts, value",National currency
CHE,YPG,"Current disbursements, general government, value",National currency
CHE,YPGQ,"Current disbursements, general government, as a percentage of GDP",Per cent
CHE,YPGT,"Total disbursements, general government, value",National currency
CHE,YPGTQ,"Total disbursements, general government, as a percentage of GDP",Per cent
CHE,YPGX,"Current disbursements excluding gross interest payments, general government, value",National currency
CHE,YPH,"Current disbursements of households, value",National currency
CHE,YPOTG,"Other current outlays, general government, value",National currency
CHE,YPOTH,"Other current income payable by households, value",National currency
CHE,YRG,"Current receipts, general government value",National currency
CHE,YRGQ,"Government current receipts, as a percentage of GDP",Per cent
CHE,YRGT,"Total receipts, general government, value",National currency
CHE,YRGTQ,"Total receipts general government, as a percentage of GDP",Per cent
CHE,YRGX,"Current receipts excluding gross interest receipts, general government, value",National currency
CHE,YRH,"Net current receipts of households, value",National currency
CHE,YROTH,"Other current income receivable by households, value",National currency
CHE,YSE,"Self-employment income received by households, value",National currency
CHL,BSII,"Balance of primary income, value, balance of payments basis",National currency
CHL,BSIID,"Balance of primary income, value in USD, balance of payments basis",USD
CHL,BSIIQ,"Balance of primary income,  as a % of GDP, balance of payments basis",Ratio
CHL,CB,"Current account balance, value",National currency
CHL,CBD,"Current account balance, value in USD",USD
CHL,CBGDPR,"Current account balance, as a percentage of GDP",Per cent
CHL,CBR,"Current account balance, residual item",National currency
CHL,CBRD,"Current account balance, residual item, USD",USD
CHL,CG,"Government final consumption expenditure, value, GDP expenditure approach",National currency
CHL,CGV,"Government final consumption expenditure, volume",National currency
CHL,CP,"Private final consumption expenditure, value, GDP expenditure approach",National currency
CHL,CPI,Consumer price index,Index
CHL,CPIDR,"Competitiveness indicator, relative consumer prices (CPI), overall weights",Index
CHL,CPV,"Private final consumption expenditure, volume",National currency
CHL,CQ_FBGSV,"Net exports, contribution to growth in real GDP",Per cent
CHL,CQ_ISKV,"Change in inventories, contributions to growth in real GDP",Per cent
CHL,CTGSVD,"Contribution to world trade volume, goods and services expressed in USD, 2005 prices",Per cent
CHL,ET,Total employment,Persons
CHL,EXCH,"Exchange rate, USD per National currency",Level
CHL,EXCHEB,"Nominal effective exchange rate, chain-linked, overall weights",Level
CHL,EXCHUD,"Exchange rate, National currency per USD",Level
CHL,FBGS,"Net exports of goods and services, value, National Accounts basis",National currency
CHL,FBGSD,"Net exports of goods and services, value, National Accounts basis, USD",USD
CHL,FBGSQ,"Net exports of goods and services, as a % of GDP, national accounts basis",Ratio
CHL,FDD,"Final domestic expenditure, value",National currency
CHL,FDDV,"Final domestic expenditure, volume",National currency
CHL,GDP,"Gross domestic product, value, market prices",National currency
CHL,GDP_USD,"Gross domestic product, US $, current prices, constant exchange rates, EO base year",USD
CHL,GDPV,"Gross domestic product, volume, market prices",National currency
CHL,GDPV_USD,"Gross domestic product, US $, volume, constant exchange rates, EO base year",USD
CHL,GDPVD,"Gross domestic product, volume, at 2005 PPP, USD",USD
CHL,IRCB,"Central bank, Key interest rates",Per cent
CHL,IRL,Long-term interest rate on government bonds,Per cent
CHL,IRS,Short-term interest rate,Per cent
CHL,IT,"Gross fixed capital formation, total, value",National currency
CHL,ITISK,"Gross capital formation, current prices",National currency
CHL,ITISKV,"Gross capital formation, total, volume",National currency
CHL,ITV,"Gross fixed capital formation, total, volume",National currency
CHL,LF,Labour force,Persons
CHL,MGS,"Imports of goods and services, value, National Accounts basis",National currency
CHL,MGSD,"Imports of goods and services, value, National Accounts basis, USD",USD
CHL,MGSV,"Imports of goods and services, volume, National Accounts basis",National currency
CHL,MGSVD,"Imports of goods and services, volume, USD, 2005 prices",USD
CHL,MPEN,"Import penetration, goods and services",Ratio
CHL,MSHA,"Share of value imports of good and services in world imports, USD",ratio
CHL,NLGC,"Central government net lending, value",National currency
CHL,NLGCQ,"Central government net lending, per cent of GDP",Per cent
CHL,NTR,"Secondary income, net,  balance of payments basis",National currency
CHL,NTRD,"Secondary income, net, value, balance of payments basis, USD",USD
CHL,NTRQ,"Net secondary income, as a % of GDP, balance of payments basis",Ratio
CHL,PCG,"Government final consumption expenditure, deflator",Index
CHL,PCORE,Core inflation index,Index
CHL,PCP,"Private final consumption expenditure, deflator",Index
CHL,PDTY,Labour productivity of the total economy,Index
CHL,PFDD,"Final domestic expenditure, deflator",Index
CHL,PGDP,"Gross domestic product, deflator, market prices",Index
CHL,PMGS,"Imports of goods and services, deflator, National Accounts basis",Index
CHL,PMSH,Shadow price of goods and services imports,Index
CHL,PMSHX,Shadow price of non- commodity goods and services imports,Index
CHL,POP,Total Population,Persons
CHL,PPP,"Purchasing power parity, National currency per USD",Level
CHL,PTDD,"Total domestic expenditure, deflator",Index
CHL,PXC,Competitors' price of goods and services exports,Index
CHL,PXCX,Competitors' price of non- commodity goods and services exports,Index
CHL,PXGS,"Exports of goods and services, deflator, National Accounts basis",Index
CHL,RPMGS,Relative price of imported goods and services,Index
CHL,RPXGS,Relative price of exported goods and services,Index
CHL,SHTGSVD,Share of country's trade expressed in USD volume (2005 prices) in the world trade,Per Cent
CHL,TDDV,"Total domestic expenditure, volume",National currency
CHL,TEV,"Total expenditure, volume",National currency
CHL,TGSVD,"Goods and services trade volume, USD, 2005 prices",USD
CHL,ULCDR,"Competitiveness indicator, relative unit labour costs, overall economy",Index
CHL,UN,"Unemployment, level",Persons
CHL,UNR,Unemployment rate,Per cent
CHL,XGS,"Exports of goods and services, value, National Accounts basis",National currency
CHL,XGSD,"Exports of goods and services, value, National Accounts basis, USD",USD
CHL,XGSV,"Exports of goods and services, volume, National Accounts basis",National currency
CHL,XGSVD,"Exports of goods and services, volume, USD, 2005 prices",USD
CHL,XMKT,"Export market for goods and services, volume, USD, 2005 prices",USD
CHL,XPERF,"Export performance for goods and services, volume",ratio
CHL,XSHA,Share of value exports of good and services in world exports expressed in USD,ratio
CHL,YPGCT,"Total disbursements, central government, value",National currency
CHL,YRGCT,"Total receipts, central government, value",National currency
CHN,BSIID,"Balance of primary income, value in USD, balance of payments basis",USD
CHN,BSIIQ,"Balance of primary income,  as a % of GDP, balance of payments basis",Ratio
CHN,CBD,"Current account balance, value in USD",USD
CHN,CBGDPR,"Current account balance, as a percentage of GDP",Per cent
CHN,CBRD,"Current account balance, residual item, USD",USD
CHN,CPI,Consumer price index,Index
CHN,CPIDR,"Competitiveness indicator, relative consumer prices (CPI), overall weights",Index
CHN,CQ_FBGSV,"Net exports, contribution to growth in real GDP",Per cent
CHN,CTGSVD,"Contribution to world trade volume, goods and services expressed in USD, 2005 prices",Per cent
CHN,EXCH,"Exchange rate, USD per National currency",Level
CHN,EXCHUD,"Exchange rate, National currency per USD",Level
CHN,FBGSD,"Net exports of goods and services, value, National Accounts basis, USD",USD
CHN,FBGSQ,"Net exports of goods and services, as a % of GDP, national accounts basis",Ratio
CHN,GDP,"Gross domestic product, value, market prices",National currency
CHN,GDP_USD,"Gross domestic product, US $, current prices, constant exchange rates, EO base year",USD
CHN,GDPV,"Gross domestic product, volume, market prices",National currency
CHN,GDPV_USD,"Gross domestic product, US $, volume, constant exchange rates, EO base year",USD
CHN,GDPVD,"Gross domestic product, volume, at 2005 PPP, USD",USD
CHN,IRCB,"Central bank, Key interest rates",Per cent
CHN,IRS,Short-term interest rate,Per cent
CHN,MGSD,"Imports of goods and services, value, National Accounts basis, USD",USD
CHN,MGSV,"Imports of goods and services, volume, National Accounts basis",National currency
CHN,MGSVD,"Imports of goods and services, volume, USD, 2005 prices",USD
CHN,MPEN,"Import penetration, goods and services",Ratio
CHN,MSHA,"Share of value imports of good and services in world imports, USD",ratio
CHN,NLG,"Government net lending, value",National currency
CHN,NLGC,"Central government net lending, value",National currency
CHN,NLGCQ,"Central government net lending, per cent of GDP",Per cent
CHN,NLGQ,"Government net lending, as a percentage of GDP",Per cent
CHN,NTRD,"Secondary income, net, value, balance of payments basis, USD",USD
CHN,NTRQ,"Net secondary income, as a % of GDP, balance of payments basis",Ratio
CHN,PGDP,"Gross domestic product, deflator, market prices",Index
CHN,PMGS,"Imports of goods and services, deflator, National Accounts basis",Index
CHN,PMGSX,Price of non- commodity imports of goods and services,Index
CHN,PMNW,Price of commodity imports,Index
CHN,PMSH,Shadow price of goods and services imports,Index
CHN,PMSHX,Shadow price of non- commodity goods and services imports,Index
CHN,POP,Total Population,Persons
CHN,PPP,"Purchasing power parity, National currency per USD",Level
CHN,PXC,Competitors' price of goods and services exports,Index
CHN,PXCX,Competitors' price of non- commodity goods and services exports,Index
CHN,PXGS,"Exports of goods and services, deflator, National Accounts basis",Index
CHN,PXGSX,Price of non- commodity exports of goods and services,Index
CHN,PXNW,Price of commodity exports,Index
CHN,RPMGS,Relative price of imported goods and services,Index
CHN,RPXGS,Relative price of exported goods and services,Index
CHN,SHTGSVD,Share of country's trade expressed in USD volume (2005 prices) in the world trade,Per Cent
CHN,TDDV,"Total domestic expenditure, volume",National currency
CHN,TGSVD,"Goods and services trade volume, USD, 2005 prices",USD
CHN,ULCDR,"Competitiveness indicator, relative unit labour costs, overall economy",Index
CHN,XGSD,"Exports of goods and services, value, National Accounts basis, USD",USD
CHN,XGSV,"Exports of goods and services, volume, National Accounts basis",National currency
CHN,XGSVD,"Exports of goods and services, volume, USD, 2005 prices",USD
CHN,XMKT,"Export market for goods and services, volume, USD, 2005 prices",USD
CHN,XPERF,"Export performance for goods and services, volume",ratio
CHN,XSHA,Share of value exports of good and services in world exports expressed in USD,ratio
COL,BSII,"Balance of primary income, value, balance of payments basis",National currency
COL,BSIID,"Balance of primary income, value in USD, balance of payments basis",USD
COL,BSIIQ,"Balance of primary income,  as a % of GDP, balance of payments basis",Ratio
COL,CAPOG,"Net capital outlays of the government, value",National currency
COL,CB,"Current account balance, value",National currency
COL,CBD,"Current account balance, value in USD",USD
COL,CBGDPR,"Current account balance, as a percentage of GDP",Per cent
COL,CBR,"Current account balance, residual item",National currency
COL,CBRD,"Current account balance, residual item, USD",USD
COL,CFKG,"Government consumption of fixed capital, value",National currency
COL,CG,"Government final consumption expenditure, value, GDP expenditure approach",National currency
COL,CGAA,"Government final consumption expenditure, value, appropriation account",National currency
COL,CGV,"Government final consumption expenditure, volume",National currency
COL,CP,"Private final consumption expenditure, value, GDP expenditure approach",National currency
COL,CPI,Consumer price index,Index
COL,CPIDR,"Competitiveness indicator, relative consumer prices (CPI), overall weights",Index
COL,CPV,"Private final consumption expenditure, volume",National currency
COL,CQ_FBGSV,"Net exports, contribution to growth in real GDP",Per cent
COL,CTGSVD,"Contribution to world trade volume, goods and services expressed in USD, 2005 prices",Per cent
COL,ET,Total employment,Persons
COL,EXCH,"Exchange rate, USD per National currency",Level
COL,EXCHEB,"Nominal effective exchange rate, chain-linked, overall weights",Level
COL,EXCHUD,"Exchange rate, National currency per USD",Level
COL,FBGS,"Net exports of goods and services, value, National Accounts basis",National currency
COL,FBGSD,"Net exports of goods and services, value, National Accounts basis, USD",USD
COL,FBGSQ,"Net exports of goods and services, as a % of GDP, national accounts basis",Ratio
COL,FDD,"Final domestic expenditure, value",National currency
COL,FDDV,"Final domestic expenditure, volume",National currency
COL,GDP,"Gross domestic product, value, market prices",National currency
COL,GDP_USD,"Gross domestic product, US $, current prices, constant exchange rates, EO base year",USD
COL,GDPV,"Gross domestic product, volume, market prices",National currency
COL,GDPV_USD,"Gross domestic product, US $, volume, constant exchange rates, EO base year",USD
COL,GDPVD,"Gross domestic product, volume, at 2005 PPP, USD",USD
COL,GGINTP,"Gross government interest payments, value",National currency
COL,GGINTR,"Gross government interest receipts, value",National currency
COL,IGAA,"Government fixed capital formation, value, appropriation account",National currency
COL,IRCB,"Central bank, Key interest rates",Per cent
COL,IRL,Long-term interest rate on government bonds,Per cent
COL,IRS,Short-term interest rate,Per cent
COL,IT,"Gross fixed capital formation, total, value",National currency
COL,ITISK,"Gross capital formation, current prices",National currency
COL,ITISKV,"Gross capital formation, total, volume",National currency
COL,ITV,"Gross fixed capital formation, total, volume",National currency
COL,LF,Labour force,Persons
COL,MGS,"Imports of goods and services, value, National Accounts basis",National currency
COL,MGSD,"Imports of goods and services, value, National Accounts basis, USD",USD
COL,MGSV,"Imports of goods and services, volume, National Accounts basis",National currency
COL,MGSVD,"Imports of goods and services, volume, USD, 2005 prices",USD
COL,MPEN,"Import penetration, goods and services",Ratio
COL,MSHA,"Share of value imports of good and services in world imports, USD",ratio
COL,NLG,"Government net lending, value",National currency
COL,NLGQ,"Government net lending, as a percentage of GDP",Per cent
COL,NTR,"Secondary income, net,  balance of payments basis",National currency
COL,NTRD,"Secondary income, net, value, balance of payments basis, USD",USD
COL,NTRQ,"Net secondary income, as a % of GDP, balance of payments basis",Ratio
COL,PCG,"Government final consumption expenditure, deflator",Index
COL,PCORE,Core inflation index,Index
COL,PCP,"Private final consumption expenditure, deflator",Index
COL,PDTY,Labour productivity of the total economy,Index
COL,PFDD,"Final domestic expenditure, deflator",Index
COL,PGDP,"Gross domestic product, deflator, market prices",Index
COL,PIT,"Gross total fixed capital formation, deflator",Index
COL,PITISK,"Gross capital formation, deflator",Index
COL,PMGS,"Imports of goods and services, deflator, National Accounts basis",Index
COL,PMGSX,Price of non- commodity imports of goods and services,Index
COL,PMNW,Price of commodity imports,Index
COL,PMSH,Shadow price of goods and services imports,Index
COL,PMSHX,Shadow price of non- commodity goods and services imports,Index
COL,POP,Total Population,Persons
COL,PPP,"Purchasing power parity, National currency per USD",Level
COL,PTDD,"Total domestic expenditure, deflator",Index
COL,PXC,Competitors' price of goods and services exports,Index
COL,PXCX,Competitors' price of non- commodity goods and services exports,Index
COL,PXGS,"Exports of goods and services, deflator, National Accounts basis",Index
COL,PXGSX,Price of non- commodity exports of goods and services,Index
COL,PXNW,Price of commodity exports,Index
COL,RPMGS,Relative price of imported goods and services,Index
COL,RPXGS,Relative price of exported goods and services,Index
COL,SAVG,"Government saving (net ), value",National currency
COL,SHTGSVD,Share of country's trade expressed in USD volume (2005 prices) in the world trade,Per Cent
COL,SSPG,"Social security benefits paid by general government, value",National currency
COL,SSRG,"Social security contribution received by general government, value",National currency
COL,TDDV,"Total domestic expenditure, volume",National currency
COL,TEV,"Total expenditure, volume",National currency
COL,TGSVD,"Goods and services trade volume, USD, 2005 prices",USD
COL,TIND,"Taxes on production and imports, value",National currency
COL,TKPG,"Capital Transfers paid and other capital payments, value",National currency
COL,TKTRG,"Capital tax and transfers receipts, value",National currency
COL,TOCR,"Other current receipts, general government, value",National currency
COL,TY,"Total direct taxes, value",National currency
COL,ULCDR,"Competitiveness indicator, relative unit labour costs, overall economy",Index
COL,UN,"Unemployment, level",Persons
COL,UNR,Unemployment rate,Per cent
COL,XGS,"Exports of goods and services, value, National Accounts basis",National currency
COL,XGSD,"Exports of goods and services, value, National Accounts basis, USD",USD
COL,XGSV,"Exports of goods and services, volume, National Accounts basis",National currency
COL,XGSVD,"Exports of goods and services, volume, USD, 2005 prices",USD
COL,XMKT,"Export market for goods and services, volume, USD, 2005 prices",USD
COL,XPERF,"Export performance for goods and services, volume",ratio
COL,XSHA,Share of value exports of good and services in world exports expressed in USD,ratio
COL,YPEPG,"Property income paid by government, value",National currency
COL,YPERG,"Property income received by government, value",National currency
COL,YPG,"Current disbursements, general government, value",National currency
COL,YPGT,"Total disbursements, general government, value",National currency
COL,YPOTG,"Other current outlays, general government, value",National currency
COL,YRG,"Current receipts, general government value",National currency
COL,YRGT,"Total receipts, general government, value",National currency
CRI,BSII,"Balance of primary income, value, balance of payments basis",National currency
CRI,BSIID,"Balance of primary income, value in USD, balance of payments basis",USD
CRI,BSIIQ,"Balance of primary income,  as a % of GDP, balance of payments basis",Ratio
CRI,CB,"Current account balance, value",National currency
CRI,CBD,"Current account balance, value in USD",USD
CRI,CBGDPR,"Current account balance, as a percentage of GDP",Per cent
CRI,CBR,"Current account balance, residual item",National currency
CRI,CBRD,"Current account balance, residual item, USD",USD
CRI,CG,"Government final consumption expenditure, value, GDP expenditure approach",National currency
CRI,CGV,"Government final consumption expenditure, volume",National currency
CRI,CP,"Private final consumption expenditure, value, GDP expenditure approach",National currency
CRI,CPI,Consumer price index,Index
CRI,CPIDR,"Competitiveness indicator, relative consumer prices (CPI), overall weights",Index
CRI,CPV,"Private final consumption expenditure, volume",National currency
CRI,CQ_FBGSV,"Net exports, contribution to growth in real GDP",Per cent
CRI,CQ_ISKV,"Change in inventories, contributions to growth in real GDP",Per cent
CRI,CTGSVD,"Contribution to world trade volume, goods and services expressed in USD, 2005 prices",Per cent
CRI,ET,Total employment,Persons
CRI,EXCHEB,"Nominal effective exchange rate, chain-linked, overall weights",Level
CRI,FBGS,"Net exports of goods and services, value, National Accounts basis",National currency
CRI,FBGSD,"Net exports of goods and services, value, National Accounts basis, USD",USD
CRI,FBGSQ,"Net exports of goods and services, as a % of GDP, national accounts basis",Ratio
CRI,FDD,"Final domestic expenditure, value",National currency
CRI,FDDV,"Final domestic expenditure, volume",National currency
CRI,GDP,"Gross domestic product, value, market prices",National currency
CRI,GDP_USD,"Gross domestic product, US $, current prices, constant exchange rates, EO base year",USD
CRI,GDPV,"Gross domestic product, volume, market prices",National currency
CRI,GDPV_USD,"Gross domestic product, US $, volume, constant exchange rates, EO base year",USD
CRI,GDPVD,"Gross domestic product, volume, at 2005 PPP, USD",USD
CRI,IRCB,"Central bank, Key interest rates",Per cent
CRI,IRS,Short-term interest rate,Per cent
CRI,IT,"Gross fixed capital formation, total, value",National currency
CRI,ITISK,"Gross capital formation, current prices",National currency
CRI,ITISKV,"Gross capital formation, total, volume",National currency
CRI,ITV,"Gross fixed capital formation, total, volume",National currency
CRI,LF,Labour force,Persons
CRI,MGS,"Imports of goods and services, value, National Accounts basis",National currency
CRI,MGSD,"Imports of goods and services, value, National Accounts basis, USD",USD
CRI,MGSV,"Imports of goods and services, volume, National Accounts basis",National currency
CRI,MGSVD,"Imports of goods and services, volume, USD, 2005 prices",USD
CRI,MPEN,"Import penetration, goods and services",Ratio
CRI,MSHA,"Share of value imports of good and services in world imports, USD",ratio
CRI,NTR,"Secondary income, net,  balance of payments basis",National currency
CRI,NTRD,"Secondary income, net, value, balance of payments basis, USD",USD
CRI,NTRQ,"Net secondary income, as a % of GDP, balance of payments basis",Ratio
CRI,PCG,"Government final consumption expenditure, deflator",Index
CRI,PCORE,Core inflation index,Index
CRI,PCP,"Private final consumption expenditure, deflator",Index
CRI,PFDD,"Final domestic expenditure, deflator",Index
CRI,PGDP,"Gross domestic product, deflator, market prices",Index
CRI,PIT,"Gross total fixed capital formation, deflator",Index
CRI,PITISK,"Gross capital formation, deflator",Index
CRI,PMGS,"Imports of goods and services, deflator, National Accounts basis",Index
CRI,POP,Total Population,Persons
CRI,PPP,"Purchasing power parity, National currency per USD",Level
CRI,PTDD,"Total domestic expenditure, deflator",Index
CRI,PXGS,"Exports of goods and services, deflator, National Accounts basis",Index
CRI,TDDV,"Total domestic expenditure, volume",National currency
CRI,TEV,"Total expenditure, volume",National currency
CRI,TGSVD,"Goods and services trade volume, USD, 2005 prices",USD
CRI,ULCDR,"Competitiveness indicator, relative unit labour costs, overall economy",Index
CRI,UN,"Unemployment, level",Persons
CRI,UNR,Unemployment rate,Per cent
CRI,XGS,"Exports of goods and services, value, National Accounts basis",National currency
CRI,XGSD,"Exports of goods and services, value, National Accounts basis, USD",USD
CRI,XGSV,"Exports of goods and services, volume, National Accounts basis",National currency
CRI,XGSVD,"Exports of goods and services, volume, USD, 2005 prices",USD
CRI,XMKT,"Export market for goods and services, volume, USD, 2005 prices",USD
CRI,XPERF,"Export performance for goods and services, volume",ratio
CRI,XSHA,Share of value exports of good and services in world exports expressed in USD,ratio
CZE,BSII,"Balance of primary income, value, balance of payments basis",National currency
CZE,BSIID,"Balance of primary income, value in USD, balance of payments basis",USD
CZE,BSIIQ,"Balance of primary income,  as a % of GDP, balance of payments basis",Ratio
CZE,CAPOG,"Net capital outlays of the government, value",National currency
CZE,CB,"Current account balance, value",National currency
CZE,CBD,"Current account balance, value in USD",USD
CZE,CBGDPR,"Current account balance, as a percentage of GDP",Per cent
CZE,CBR,"Current account balance, residual item",National currency
CZE,CBRD,"Current account balance, residual item, USD",USD
CZE,CFKG,"Government consumption of fixed capital, value",National currency
CZE,CG,"Government final consumption expenditure, value, GDP expenditure approach",National currency
CZE,CGAA,"Government final consumption expenditure, value, appropriation account",National currency
CZE,CGV,"Government final consumption expenditure, volume",National currency
CZE,CLF,"Employment coefficient, supply",Ratio
CZE,CP,"Private final consumption expenditure, value, GDP expenditure approach",National currency
CZE,CPAA,"Private final consumption expenditure, value, appropriation account",National currency
CZE,CPI,Consumer price index,Index
CZE,CPIDR,"Competitiveness indicator, relative consumer prices (CPI), overall weights",Index
CZE,CPV,"Private final consumption expenditure, volume",National currency
CZE,CQ_FBGSV,"Net exports, contribution to growth in real GDP",Per cent
CZE,CQ_ISKV,"Change in inventories, contributions to growth in real GDP",Per cent
CZE,CTGSVD,"Contribution to world trade volume, goods and services expressed in USD, 2005 prices",Per cent
CZE,EE,"Dependent employment, total economy",Persons
CZE,EQPF,"Adjustment for the change in net equity of households in pension fund reserves, value",National currency
CZE,ES,Total self-employed,Persons
CZE,ET,Total employment,Persons
CZE,ET_NA,"Total employment, National Accounts basis",Persons
CZE,EXCH,"Exchange rate, USD per National currency",Level
CZE,EXCHEB,"Nominal effective exchange rate, chain-linked, overall weights",Level
CZE,EXCHUD,"Exchange rate, National currency per USD",Level
CZE,FBGS,"Net exports of goods and services, value, National Accounts basis",National currency
CZE,FBGSD,"Net exports of goods and services, value, National Accounts basis, USD",USD
CZE,FBGSQ,"Net exports of goods and services, as a % of GDP, national accounts basis",Ratio
CZE,FDD,"Final domestic expenditure, value",National currency
CZE,FDDV,"Final domestic expenditure, volume",National currency
CZE,GDP,"Gross domestic product, value, market prices",National currency
CZE,GDP_USD,"Gross domestic product, US $, current prices, constant exchange rates, EO base year",USD
CZE,GDPV,"Gross domestic product, volume, market prices",National currency
CZE,GDPV_USD,"Gross domestic product, US $, volume, constant exchange rates, EO base year",USD
CZE,GDPVD,"Gross domestic product, volume, at 2005 PPP, USD",USD
CZE,GFAR,"General government gross financial assets, as a percentage of GDP",Per cent
CZE,GGFL,"General government gross financial liabilities, value",National currency
CZE,GGFLM,"Gross public debt, Maastricht criterion, value",National currency
CZE,GGFLMQ,"Gross public debt, Maastricht criterion, as a percentage of GDP",Per cent
CZE,GGFLQ,"General government gross financial liabilities, as a percentage of GDP",Per cent
CZE,GGINTP,"Gross government interest payments, value",National currency
CZE,GGINTR,"Gross government interest receipts, value",National currency
CZE,GNFL,"General government net financial liabilities, value",National currency
CZE,GNFLQ,"General government net financial liabilities, as a percentage of GDP",Per cent
CZE,GNINTP,"Net government interest payments, value",National currency
CZE,GNINTQ,"Net government interest payments, as a percentage of GDP",Per cent
CZE,HRS,"Hours worked per employee, total economy",Hours
CZE,IBGV,"Private non-residential and government fixed capital formation, volume",National currency
CZE,IGAA,"Government fixed capital formation, value, appropriation account",National currency
CZE,IHV,"Gross fixed capital formation, housing, volume",National currency
CZE,IRCB,"Central bank, Key interest rates",Per cent
CZE,IRL,Long-term interest rate on government bonds,Per cent
CZE,IRS,Short-term interest rate,Per cent
CZE,IT,"Gross fixed capital formation, total, value",National currency
CZE,ITISK,"Gross capital formation, current prices",National currency
CZE,ITISKV,"Gross capital formation, total, volume",National currency
CZE,ITV,"Gross fixed capital formation, total, volume",National currency
CZE,LF,Labour force,Persons
CZE,MGS,"Imports of goods and services, value, National Accounts basis",National currency
CZE,MGSD,"Imports of goods and services, value, National Accounts basis, USD",USD
CZE,MGSV,"Imports of goods and services, volume, National Accounts basis",National currency
CZE,MGSVD,"Imports of goods and services, volume, USD, 2005 prices",USD
CZE,MPEN,"Import penetration, goods and services",Ratio
CZE,MSHA,"Share of value imports of good and services in world imports, USD",ratio
CZE,NLG,"Government net lending, value",National currency
CZE,NLGQ,"Government net lending, as a percentage of GDP",Per cent
CZE,NLGX,"Government primary balance, value",National currency
CZE,NLGXQ,"Government primary balance, as a percentage of GDP",Per cent
CZE,NTR,"Secondary income, net,  balance of payments basis",National currency
CZE,NTRD,"Secondary income, net, value, balance of payments basis, USD",USD
CZE,NTRQ,"Net secondary income, as a % of GDP, balance of payments basis",Ratio
CZE,PCG,"Government final consumption expenditure, deflator",Index
CZE,PCORE,Core inflation index,Index
CZE,PCP,"Private final consumption expenditure, deflator",Index
CZE,PDTY,Labour productivity of the total economy,Index
CZE,PFDD,"Final domestic expenditure, deflator",Index
CZE,PGDP,"Gross domestic product, deflator, market prices",Index
CZE,PIT,"Gross total fixed capital formation, deflator",Index
CZE,PITISK,"Gross capital formation, deflator",Index
CZE,PMGS,"Imports of goods and services, deflator, National Accounts basis",Index
CZE,PMGSX,Price of non- commodity imports of goods and services,Index
CZE,PMNW,Price of commodity imports,Index
CZE,PMSH,Shadow price of goods and services imports,Index
CZE,PMSHX,Shadow price of non- commodity goods and services imports,Index
CZE,POP,Total Population,Persons
CZE,PPP,"Purchasing power parity, National currency per USD",Level
CZE,PTDD,"Total domestic expenditure, deflator",Index
CZE,PXC,Competitors' price of goods and services exports,Index
CZE,PXCX,Competitors' price of non- commodity goods and services exports,Index
CZE,PXGS,"Exports of goods and services, deflator, National Accounts basis",Index
CZE,PXGSX,Price of non- commodity exports of goods and services,Index
CZE,PXNW,Price of commodity exports,Index
CZE,RPMGS,Relative price of imported goods and services,Index
