Country Code,Variable code,Variable description,Units
AUS,GGFL,"General government gross financial liabilities, value",National currency
AUS,GGFLQ,"General government gross financial liabilities, as a percentage of GDP",Per cent
AUS,GGINTP,"Gross government interest payments, value",National currency
AUS,GGINTR,"Gross government interest receipts, value",National currency
AUS,GNFL,"General government net financial liabilities, value",National currency
AUS,GNFLQ,"General government net financial liabilities, as a percentage of GDP",Per cent
AUS,GNINTP,"Net government interest payments, value",National currency
AUS,GNINTQ,"Net government interest payments, as a percentage of GDP",Per cent
AUS,HRS,"Hours worked per employee, total economy",Hours
AUS,IBGV,"Private non-residential and government fixed capital formation, volume",National currency
AUS,IBV,"Private non-residential gross fixed capital formation, volume",National currency
AUS,IGAA,"Government fixed capital formation, value, appropriation account",National currency
AUS,IGV,"Government gross fixed capital formation, volume",National currency
AUS,IHV,"Gross fixed capital formation, housing, volume",National currency
AUS,IRCB,"Central bank, Key interest rates",Per cent
AUS,IRL,Long-term interest rate on government bonds,Per cent
AUS,IRS,Short-term interest rate,Per cent
AUS,IT,"Gross fixed capital formation, total, value",National currency
AUS,ITISK,"Gross capital formation, current prices",National currency
AUS,ITISKV,"Gross capital formation, total, volume",National currency
AUS,ITV,"Gross fixed capital formation, total, volume",National currency
AUS,KTPV,"Productive capital stocks, volume",National currency
AUS,LF,Labour force,Persons
AUS,MGS,"Imports of goods and services, value, National Accounts basis",National currency
AUS,MGSD,"Imports of goods and services, value, National Accounts basis, USD",USD
AUS,MGSV,"Imports of goods and services, volume, National Accounts basis",National currency
AUS,MGSVD,"Imports of goods and services, volume, USD, 2005 prices",USD
AUS,MPEN,"Import penetration, goods and services",Ratio
AUS,MSHA,"Share of value imports of good and services in world imports, USD",ratio
AUS,NLG,"Government net lending, value",National currency
AUS,NLGQ,"Government net lending, as a percentage of GDP",Per cent
AUS,NLGX,"Government primary balance, value",National currency
AUS,NLGXQ,"Government primary balance, as a percentage of GDP",Per cent
AUS,NTR,"Secondary income, net,  balance of payments basis",National currency
AUS,NTRD,"Secondary income, net, value, balance of payments basis, USD",USD
AUS,NTRQ,"Net secondary income, as a % of GDP, balance of payments basis",Ratio
AUS,PCG,"Government final consumption expenditure, deflator",Index
AUS,PCORE,Core inflation index,Index
AUS,PCP,"Private final consumption expenditure, deflator",Index
AUS,PDTY,Labour productivity of the total economy,Index
AUS,PFDD,"Final domestic expenditure, deflator",Index
AUS,PGDP,"Gross domestic product, deflator, market prices",Index
AUS,PIGAA,"Government fixed capital formation, deflator,based on approproation account",Index
AUS,PIT,"Gross total fixed capital formation, deflator",Index
AUS,PITISK,"Gross capital formation, deflator",Index
AUS,PMGS,"Imports of goods and services, deflator, National Accounts basis",Index
AUS,PMGSX,Price of non- commodity imports of goods and services,Index
AUS,PMNW,Price of commodity imports,Index
AUS,PMSH,Shadow price of goods and services imports,Index
AUS,PMSHX,Shadow price of non- commodity goods and services imports,Index
AUS,POP,Total Population,Persons
AUS,PPP,"Purchasing power parity, National currency per USD",Level
AUS,PTDD,"Total domestic expenditure, deflator",Index
AUS,PXC,Competitors' price of goods and services exports,Index
AUS,PXCX,Competitors' price of non- commodity goods and services exports,Index
AUS,PXGS,"Exports of goods and services, deflator, National Accounts basis",Index
AUS,PXGSX,Price of non- commodity exports of goods and services,Index
AUS,PXNW,Price of commodity exports,Index
AUS,RPMGS,Relative price of imported goods and services,Index
AUS,RPXGS,Relative price of exported goods and services,Index
AUS,RSCRP,Productive capital stock scrapping rate,Per Cent
AUS,SAVG,"Government saving (net ), value",National currency
AUS,SAVH,"Net household saving, value",National currency
AUS,SHTGSVD,Share of country's trade expressed in USD volume (2005 prices) in the world trade,Per Cent
AUS,SRATIO,Household and non-profit institutions serving households net saving ratio,Per cent
AUS,SSPG,"Social security benefits paid by general government, value",National currency
AUS,TAXQ,"Taxes and social security contributions, as a percentage of GDP",Per cent
AUS,TDDV,"Total domestic expenditure, volume",National currency
AUS,TEV,"Total expenditure, volume",National currency
AUS,TGSVD,"Goods and services trade volume, USD, 2005 prices",USD
AUS,TIND,"Taxes on production and imports, value",National currency
AUS,TKPG,"Capital Transfers paid and other capital payments, value",National currency
AUS,TKTRG,"Capital tax and transfers receipts, value",National currency
AUS,TOCR,"Other current receipts, general government, value",National currency
AUS,TRPESH,Employees and self-employed contribution to social security,National currency
AUS,TRPTSH,Total employers social contributions,National currency
AUS,TY,"Total direct taxes, value",National currency
AUS,TYB,"Direct taxes on business, value",National currency
AUS,TYH,"Direct taxes on households, value",National currency
AUS,ULC,Unit labour cost in total economy,Index
AUS,ULCDR,"Competitiveness indicator, relative unit labour costs, overall economy",Index
AUS,UN,"Unemployment, level",Persons
AUS,UNR,Unemployment rate,Per cent
AUS,WAGE,"Wages, value",National currency
AUS,WRT,"Wage rate, total economy",National currency
AUS,WSSH,Compensation of employees received by households,National currency
AUS,WSSS,"Compensation of employees, value",National currency
AUS,WSST,"Compensation rate, total economy",National currency
AUS,XGS,"Exports of goods and services, value, National Accounts basis",National currency
AUS,XGSD,"Exports of goods and services, value, National Accounts basis, USD",USD
AUS,XGSV,"Exports of goods and services, volume, National Accounts basis",National currency
AUS,XGSVD,"Exports of goods and services, volume, USD, 2005 prices",USD
AUS,XMKT,"Export market for goods and services, volume, USD, 2005 prices",USD
AUS,XPERF,"Export performance for goods and services, volume",ratio
AUS,XSHA,Share of value exports of good and services in world exports expressed in USD,ratio
AUS,YDH,"Net household disposable income, value",National currency
AUS,YDRH,"Net household disposable income, real",National currency
AUS,YPEPG,"Property income paid by government, value",National currency
AUS,YPERG,"Property income received by government, value",National currency
AUS,YPERGX,"Property income received by government, excluding interest receipts, value",National currency
AUS,YPG,"Current disbursements, general government, value",National currency
AUS,YPGQ,"Current disbursements, general government, as a percentage of GDP",Per cent
AUS,YPGT,"Total disbursements, general government, value",National currency
AUS,YPGTQ,"Total disbursements, general government, as a percentage of GDP",Per cent
AUS,YPGX,"Current disbursements excluding gross interest payments, general government, value",National currency
AUS,YPH,"Current disbursements of households, value",National currency
AUS,YPOTG,"Other current outlays, general government, value",National currency
AUS,YPOTH,"Other current income payable by households, value",National currency
AUS,YRG,"Current receipts, general government value",National currency
AUS,YRGQ,"Government current receipts, as a percentage of GDP",Per cent
AUS,YRGT,"Total receipts, general government, value",National currency
AUS,YRGTQ,"Total receipts general government, as a percentage of GDP",Per cent
AUS,YRGX,"Current receipts excluding gross interest receipts, general government, value",National currency
AUS,YRH,"Net current receipts of households, value",National currency
AUS,YROTH,"Other current income receivable by households, value",National currency
AUS,YSE,"Self-employment income received by households, value",National currency
AUT,BSII,"Balance of primary income, value, balance of payments basis",National currency
