inst_instid,indicid,name,abbreviation,unit_measure,description
IMF,GGXWDG_GDP,Government Debt (% of GDP),GGXWDG_GDP,Percent of GDP,Government Debt (Percent of GDP)
IMF,FMB_GDP,Broad Money (% of GDP),FMB_GDP,Percent of GDP,   
IMF,FDSAOP_PCH,Claims on Nonfinancial Private Sector (%),FDSAOP_PCH,Annual percent change,    
IMF,FDSAOP_GDP,Claims on Nonfinancial Private Sector (% of GDP),FDSAOP_GDP,Percent of GDP,    
IMF,FMB_PCH,Broad Money Growth,FMB_PCH,Annual percent change,   
IMF,BX_GDP,Exports of Goods and Services (% of GDP),BX_GDP,Percent of GDP,     
IMF,BCA_GDP,"External Current Account, Incl.Grants (% of GDP)",BCA_GDP,Percent of GDP,  
IMF,BM_GDP,Imports of Goods and Services (% of GDP),BM_GDP,Percent of GDP,     
IMF,BT_GDP,Trade Balance (% of GDP),BT_GDP,Percent of GDP,    
IMF,BFD_GDP,Net Foreign Direct Investment (% of GDP),BFD_GDP,Percent of GDP,    
IMF,BRASS_MI,Reserves (Months of Imports) ,BRASS_MI,Months of imports of goods and services,Reserves (Months of imports of goods and services)
IMF,EREER,Real Effective Exchange Rates (2010=100),EREER,"Annual Average Index, 2010 = 100",   
IMF,ENEER,Nominal Effective Exchange Rates (2010=100),ENEER,"Annual Average Index, 2010 = 100",  
IMF,DG_GDP,"External Debt, Official Debt, Debtor Based (% of GDP)",DG_GDP,Percent of GDP,   
IMF,PCPI_PCH,"Consumer Prices, Average (Annual % Change)",PCPI_PCH,Annual average percent change,    
IMF,PCPIE_PCH,"Consumer Prices, End of Period (Annual % Change)",PCPIE_PCH,Annual average percent change,    
IMF,TTT,"Terms of Trade (Index, 2010 = 100)",TTT,"Index, 2010 = 100",     
